,SX,M (€),R (mois),F (mois),CA_MOIS (€),CA_TRIM (€),CA_SEM (€),CA_ANNU (€),AG (an),NB_LIV_ENF (unité),NB_LIV_ADO (unité),NB_LIV_ROM (unité),NB_LIV_ART (unité),NB_LIV_BRIC (unité),NB_LIV_ESS (unité),NB_LIV_HIST (unités),NB_LIV_SCI (unité),NB_LIV_GEO (unités),NB_LIV_ECO (unité),NB_LIV_FIN (unité)
00226549,F,42,12,1,0,0,0,504,12,0,0,0,1,0,0,0,0,0,0,0
00226550,F,106,10,5,0,0,0,254,32,0,0,1,2,0,1,1,0,0,0,0
00226551,F,278,34,3,0,0,0,0,44,0,0,1,0,0,0,2,0,0,0,0
00226552,F,435,32,12,0,0,0,0,56,3,0,3,1,2,1,2,0,0,0,0
00226555,F,200,10,2,0,0,0,1200,14,0,1,1,0,0,0,0,0,0,0,0
00226556,M,173,6,2,0,0,519,1038,12,1,1,0,0,0,0,0,0,0,0,0
00226557,M,355,2,12,0,89,178,355,50,2,1,5,2,0,1,1,0,0,0,1
00226559,M,186,24,1,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0
00226562,M,408,12,10,0,0,0,490,32,1,0,3,1,0,2,3,0,0,0,1
00226564,M,19,16,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0
00226566,M,187,6,1,0,0,1122,2244,6,0,0,0,0,0,0,1,0,0,0,0
00226567,M,358,10,10,0,0,0,430,36,2,2,4,0,2,0,0,0,0,0,0
00226568,F,158,6,6,0,0,158,316,34,1,0,1,0,2,2,0,0,0,0,0
00226570,M,173,2,2,0,260,519,1038,6,0,0,1,0,0,1,0,0,0,0,1
00226578,F,260,18,1,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0
00226579,F,81,14,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0
00226580,F,238,16,2,0,0,0,0,22,1,0,0,0,0,0,1,0,0,0,0
00226581,M,58,10,1,0,0,0,696,10,0,0,1,0,0,0,0,0,0,0,0
00226584,F,61,16,2,0,0,0,0,22,0,0,0,0,0,0,2,0,0,0,0
00226586,M,185,12,2,0,0,0,1110,20,1,0,0,0,1,0,0,0,0,0,0
00226587,M,103,14,2,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0
00226588,M,270,16,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0
00226589,F,284,14,2,0,0,0,0,18,1,0,0,0,1,0,0,0,0,0,0
00226591,F,140,24,3,0,0,0,0,30,1,0,1,0,0,0,1,0,0,0,0
00226592,M,224,26,2,0,0,0,0,32,1,1,0,0,0,0,0,0,0,0,0
00226595,F,158,12,10,0,0,0,190,38,1,2,4,1,1,0,1,0,0,0,0
00226598,F,338,10,12,0,0,0,338,54,2,1,6,3,0,0,0,0,0,0,0
00226600,F,139,16,9,0,0,0,0,64,2,1,2,0,1,2,1,0,0,0,0
00226603,M,163,2,1,0,489,978,1956,2,1,0,0,0,0,0,0,0,0,0,0
00226607,F,354,24,5,0,0,0,0,34,1,1,0,0,1,1,1,0,0,0,0
00226609,F,216,2,1,0,648,1296,2592,2,0,1,0,0,0,0,0,0,0,0,0
00226612,F,140,4,8,0,0,105,210,44,2,0,1,2,1,1,1,0,0,0,0
00226613,F,299,14,2,0,0,0,0,20,1,0,0,0,1,0,0,0,0,0,0
00226614,F,277,6,1,0,0,1662,3324,6,1,0,0,0,0,0,0,0,0,0,0
00226615,M,187,6,8,0,0,140,281,44,0,0,4,0,1,1,2,0,0,0,0
00226617,F,284,32,9,0,0,0,0,68,1,0,1,3,0,2,2,1,0,1,0
00226627,F,100,10,1,0,0,0,1200,10,0,0,0,0,1,0,0,0,0,0,0
00226629,M,265,16,7,0,0,0,0,42,1,1,2,1,0,1,1,0,0,0,0
00226632,M,277,14,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0
00226633,M,207,6,1,0,0,1242,2484,6,0,0,0,0,0,0,1,0,0,0,0
00226634,M,388,28,6,0,0,0,0,60,3,0,1,2,0,0,0,1,0,0,0
00226637,F,330,14,10,0,0,0,0,64,0,0,2,2,1,0,5,0,0,0,0
00226638,F,356,8,6,0,0,0,712,44,2,1,0,0,0,0,3,0,0,0,0
00226641,F,222,24,3,0,0,0,0,34,2,0,0,0,0,1,0,0,0,1,0
00226645,F,216,32,3,0,0,0,0,42,1,0,0,1,0,0,1,0,0,0,0
00226650,M,141,12,2,0,0,0,846,20,0,1,0,0,1,0,0,0,0,0,0
00226652,F,259,16,2,0,0,0,0,18,0,0,1,1,0,0,0,0,0,0,0
00226655,F,255,16,5,0,0,0,0,26,1,0,1,0,0,0,3,0,0,0,0
00226656,F,246,10,4,0,0,0,738,28,1,0,0,0,1,1,1,0,0,0,1
00226657,F,165,30,1,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0
00226659,F,302,8,1,0,0,0,3624,8,0,0,1,0,0,0,0,0,0,0,0
00226665,F,262,2,2,0,393,786,1572,8,0,1,1,0,0,0,0,0,0,0,0
00226666,M,349,8,7,0,0,0,598,38,1,2,0,0,1,2,1,0,0,0,0
00226667,F,365,28,12,0,0,0,0,70,3,1,4,2,1,0,1,0,0,0,0
00226668,F,228,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00226670,F,181,24,8,0,0,0,0,54,2,1,2,1,1,1,0,1,0,0,0
00226671,F,115,2,1,0,345,690,1380,2,0,0,1,0,0,0,0,0,0,0,0
00226672,F,183,8,6,0,0,0,366,42,1,0,4,0,0,1,0,0,0,0,0
00226676,F,347,14,11,0,0,0,0,74,3,1,0,3,2,1,1,0,0,0,0
00226677,F,246,2,2,0,369,738,1476,10,1,0,0,0,0,1,0,0,0,0,0
00226680,F,147,8,1,0,0,0,1764,8,0,0,1,0,0,0,0,0,0,0,0
00226684,F,29,12,1,0,0,0,348,12,0,0,1,0,0,0,0,0,0,0,0
00226687,F,53,14,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
00226688,F,205,8,2,0,0,0,1230,10,0,0,2,0,0,0,0,0,0,0,0
00226689,M,272,4,9,0,0,181,363,44,1,1,1,1,1,2,2,1,1,1,1
00226690,M,180,14,2,0,0,0,0,20,1,0,0,0,0,0,1,0,0,0,0
00226691,F,425,2,12,0,106,213,425,40,2,1,3,0,2,1,3,1,1,1,1
00226693,F,219,2,1,0,657,1314,2628,2,1,0,0,0,0,0,0,0,0,0,0
00226694,F,28,2,1,0,84,168,336,2,0,0,1,0,0,0,0,0,0,0,0
00226696,M,315,2,12,0,79,158,315,56,0,1,4,2,1,1,3,0,0,0,1
00226699,F,111,12,1,0,0,0,1332,12,0,0,0,0,0,1,0,0,0,0,0
00226700,M,264,28,1,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,1
00226701,M,278,14,3,0,0,0,0,26,1,0,1,0,0,0,1,0,0,0,0
00226702,F,246,12,10,0,0,0,295,70,2,2,3,2,0,0,1,0,0,0,0
00226705,F,67,10,3,0,0,0,268,26,0,0,0,1,1,0,1,0,0,0,0
00226711,M,181,14,8,0,0,0,0,60,1,0,4,2,0,0,1,0,0,0,0
00226713,F,88,10,2,0,0,0,528,16,0,0,0,1,1,0,0,0,1,0,0
00226715,F,270,12,5,0,0,0,648,36,2,0,1,0,0,0,2,0,0,0,0
00226718,F,307,8,2,0,0,0,1842,16,0,0,1,0,0,0,1,0,0,0,0
00226719,F,23,12,1,0,0,0,276,12,0,0,1,0,0,0,0,0,0,0,0
00226723,F,113,14,2,0,0,0,0,20,0,0,0,0,0,1,1,0,0,0,0
00226724,F,271,4,6,0,0,271,542,18,2,1,1,1,0,0,1,0,0,0,0
00226726,F,26,6,1,0,0,156,312,6,1,0,0,0,0,0,0,0,0,0,0
00226728,F,19,12,1,0,0,0,228,12,0,0,0,0,0,0,1,0,0,0,0
00226729,F,328,2,9,0,109,219,437,34,4,0,2,0,0,2,1,0,0,0,0
00226731,F,370,6,11,0,0,202,404,50,3,1,3,1,0,0,3,0,0,0,0
00226735,F,305,2,1,0,915,1830,3660,2,1,0,0,0,0,0,0,0,0,0,0
00226736,F,284,12,1,0,0,0,3408,12,0,0,0,0,1,0,0,0,0,0,0
00226737,F,66,2,2,0,99,198,396,8,1,0,0,0,1,0,0,0,0,0,0
00226738,F,145,16,2,0,0,0,0,20,1,0,0,0,0,1,0,0,0,0,0
00226739,F,319,12,2,0,0,0,1914,14,0,0,0,2,0,0,0,0,0,0,0
00226743,M,37,10,2,0,0,0,222,16,0,1,1,0,0,0,0,1,0,0,0
00226744,F,169,8,10,0,0,0,203,62,3,1,1,2,1,1,1,0,0,0,0
00226745,F,85,16,1,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0
00226746,M,176,16,5,0,0,0,0,36,3,0,1,1,0,0,0,1,0,0,0
00226749,F,250,8,2,0,0,0,1500,16,1,0,0,0,1,0,0,0,0,0,0
00226752,M,303,4,4,0,0,455,909,16,1,1,0,0,1,1,0,0,1,0,0
00226755,F,138,12,2,0,0,0,828,18,1,0,1,0,0,0,0,0,0,0,0
00226757,M,398,12,11,0,0,0,434,64,4,3,0,2,1,0,1,0,0,0,0
00226761,F,82,24,2,0,0,0,0,30,0,0,1,0,0,0,1,0,0,0,0
00226763,F,338,12,8,0,0,0,507,54,0,1,2,1,0,2,2,0,0,0,0
00226764,F,263,8,2,0,0,0,1578,12,0,0,1,0,1,0,0,0,1,0,0
00226766,F,233,16,2,0,0,0,0,18,1,0,0,0,1,0,0,0,0,0,0
00226767,F,121,4,4,0,0,182,363,14,1,1,0,1,0,0,1,0,0,0,0
00226768,F,62,14,2,0,0,0,0,16,0,0,0,1,0,0,1,0,0,0,0
00226771,F,254,16,9,0,0,0,0,52,3,2,0,1,0,1,2,0,0,0,0
00226774,F,61,12,2,0,0,0,366,18,0,1,1,0,0,0,0,0,0,0,0
00226777,F,270,8,9,0,0,0,360,48,0,1,2,1,0,2,3,0,0,0,1
00226778,F,297,4,1,0,0,1782,3564,4,0,1,0,0,0,0,0,0,0,0,0
00226782,F,156,4,2,0,0,468,936,10,0,1,0,1,0,0,0,0,0,0,0
00226784,F,162,16,6,0,0,0,0,44,1,2,2,1,0,0,0,0,0,0,0
00226786,F,478,18,12,0,0,0,0,56,4,0,3,0,2,1,2,0,0,0,0
00226788,F,462,16,12,0,0,0,0,78,4,2,4,2,0,0,0,0,0,0,0
00226789,M,84,8,1,0,0,0,1008,8,1,0,0,0,0,0,0,0,0,0,0
00226791,F,107,18,1,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0
00226794,M,238,12,11,0,0,0,260,64,2,1,2,1,2,3,0,0,0,0,1
00226795,F,188,10,5,0,0,0,451,28,1,1,2,1,0,0,0,0,0,0,0
00226798,M,119,16,2,0,0,0,0,22,0,1,0,0,0,0,1,0,0,0,0
00226799,M,269,10,6,0,0,0,538,24,2,0,2,0,0,1,1,1,0,0,1
00226800,F,173,16,2,0,0,0,0,20,0,0,0,1,0,0,1,0,0,0,0
00226801,F,103,4,3,0,0,206,412,16,0,0,1,0,0,0,2,0,0,0,0
00226802,F,310,8,2,0,0,0,1860,12,0,0,1,0,0,1,0,0,0,0,0
00226807,F,61,14,2,0,0,0,0,20,1,0,1,0,0,0,0,0,0,0,0
00226809,M,221,10,7,0,0,0,379,24,2,0,2,1,1,1,0,1,1,1,0
00226816,M,224,18,2,0,0,0,0,24,0,1,1,0,0,0,0,0,0,0,0
00226817,F,93,12,1,0,0,0,1116,12,0,0,1,0,0,0,0,0,0,0,0
00226818,M,261,4,5,0,0,313,626,16,1,1,2,1,0,0,0,0,0,0,0
00226819,M,195,14,6,0,0,0,0,40,2,1,1,1,0,0,1,0,0,0,1
00226822,F,275,16,9,0,0,0,0,60,1,0,1,1,3,1,2,0,0,0,0
00226825,F,97,12,1,0,0,0,1164,12,0,1,0,0,0,0,0,0,0,0,0
00226827,F,114,14,7,0,0,0,0,46,1,0,3,1,2,0,0,0,0,0,0
00226828,F,288,6,2,0,0,864,1728,8,0,0,1,0,1,0,0,0,0,0,0
00226829,F,313,10,4,0,0,0,939,22,1,0,0,0,1,2,0,0,0,0,0
00226834,F,150,26,2,0,0,0,0,28,1,0,1,0,0,0,0,0,0,0,0
00226843,F,239,4,10,0,0,143,287,32,2,0,4,2,1,0,1,1,1,0,0
00226846,F,310,16,1,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,1
00226849,M,190,12,2,0,0,0,1140,14,0,0,0,0,1,0,1,0,0,0,0
00226851,M,217,18,7,0,0,0,0,42,2,0,0,1,1,2,1,0,0,0,0
00226852,F,185,12,10,0,0,0,222,62,3,1,2,2,0,1,1,1,0,1,0
00226853,M,233,36,1,0,0,0,0,36,0,0,1,0,0,0,0,0,0,0,0
00226854,F,323,24,2,0,0,0,0,26,1,0,1,0,0,0,0,1,0,0,1
00226856,F,28,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00226859,F,311,12,5,0,0,0,746,30,0,0,3,1,0,1,0,0,0,0,0
00226861,M,267,8,12,0,0,0,267,46,3,4,0,1,1,1,2,0,0,0,0
00226863,M,49,12,1,0,0,0,588,12,1,0,0,0,0,0,0,0,0,0,0
00226864,M,273,8,2,0,0,0,1638,12,0,0,2,0,0,0,0,1,0,0,0
00226865,F,235,8,1,0,0,0,2820,8,0,0,0,0,0,1,0,0,0,0,0
00226866,F,72,22,1,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0
00226867,F,122,20,2,0,0,0,0,22,1,1,0,0,0,0,0,0,0,0,0
00226869,F,205,14,2,0,0,0,0,22,1,1,0,0,0,0,0,0,0,0,0
00226871,F,278,8,6,0,0,0,556,36,0,1,1,0,0,4,0,0,0,0,1
00226874,F,176,12,2,0,0,0,1056,20,0,1,0,0,1,0,0,0,0,0,0
00226875,M,274,28,10,0,0,0,0,80,3,0,2,0,2,2,1,0,0,0,0
00226878,F,267,32,8,0,0,0,0,56,3,0,3,1,0,0,1,0,0,0,0
00226881,F,314,4,1,0,0,1884,3768,4,0,0,0,0,0,0,1,0,0,0,0
00226888,F,143,12,1,0,0,0,1716,12,0,0,0,1,0,0,0,0,0,0,0
00226892,F,265,4,1,0,0,1590,3180,4,0,0,1,0,0,0,0,0,0,0,1
00226893,F,228,24,1,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0
00226895,M,36,10,1,0,0,0,432,10,0,0,0,0,1,0,0,0,0,0,0
00226899,F,93,18,2,0,0,0,0,26,0,0,0,1,0,1,0,0,0,0,0
00226900,F,82,16,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0
00226905,M,31,8,1,0,0,0,372,8,0,0,0,0,0,0,1,0,0,0,0
00226906,M,365,10,5,0,0,0,876,34,0,1,3,0,0,0,1,1,0,0,0
00226908,F,289,4,2,0,0,867,1734,8,0,0,0,0,1,0,1,0,0,0,0
00226910,F,272,12,2,0,0,0,1632,20,1,1,0,0,0,0,0,0,0,0,0
00226911,F,246,8,1,0,0,0,2952,8,0,0,1,0,0,0,0,0,0,0,0
00226914,F,85,28,2,0,0,0,0,34,0,0,1,0,0,0,1,0,0,0,0
00226917,F,258,6,3,0,0,516,1032,20,1,0,1,0,0,1,0,0,0,0,0
00226918,F,250,6,12,0,0,125,250,76,1,2,3,2,2,0,2,1,1,0,0
00226923,F,236,16,3,0,0,0,0,34,0,0,1,0,1,0,1,0,0,0,1
00226924,M,62,12,4,0,0,0,186,30,1,0,1,0,0,1,1,0,0,0,0
00226926,F,242,12,8,0,0,0,363,40,0,1,3,0,0,4,0,1,0,0,1
00226927,F,150,12,5,0,0,0,360,34,0,0,3,0,0,2,0,0,0,0,0
00226929,M,99,12,6,0,0,0,198,38,1,0,3,0,1,0,1,0,0,0,0
00226930,M,76,10,1,0,0,0,912,10,0,0,1,0,0,0,0,0,0,0,0
00226932,F,257,12,1,0,0,0,3084,12,1,0,0,0,0,0,0,0,0,0,0
00226933,M,143,14,1,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0
00226936,F,271,10,2,0,0,0,1626,14,0,0,0,0,0,1,1,0,0,0,0
00226942,F,369,12,8,0,0,0,554,52,1,0,2,1,1,2,1,0,0,0,1
00226943,F,288,12,7,0,0,0,494,28,1,0,1,0,1,2,2,0,0,0,1
00226945,F,240,32,5,0,0,0,0,48,1,1,1,1,0,0,1,0,0,0,0
00226946,M,444,18,11,0,0,0,0,54,1,1,4,1,0,2,2,1,0,1,1
00226948,F,152,8,2,0,0,0,912,12,0,0,1,0,0,1,0,0,0,0,0
00226949,M,193,22,2,0,0,0,0,24,0,1,0,0,1,0,0,0,0,0,0
00226951,F,160,14,2,0,0,0,0,16,1,0,0,0,0,0,1,0,0,0,0
00226955,M,242,22,8,0,0,0,0,44,4,1,1,1,0,1,0,0,0,0,0
00226958,F,126,10,1,0,0,0,1512,10,1,0,0,0,0,0,0,0,0,0,0
00226961,M,445,14,12,0,0,0,0,70,2,3,2,0,2,0,3,0,0,0,0
00226962,F,378,12,12,0,0,0,378,40,3,3,2,1,1,1,1,0,0,0,0
00226963,F,36,16,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0
00226964,F,96,2,2,0,144,288,576,4,0,0,2,0,0,0,0,0,0,0,0
00226965,F,150,22,5,0,0,0,0,34,2,0,3,0,0,0,0,0,0,0,0
00226967,F,253,6,1,0,0,1518,3036,6,0,0,0,0,0,1,0,0,0,0,0
00226968,M,308,26,2,0,0,0,0,34,1,0,0,0,0,1,0,0,0,0,0
00226973,F,302,14,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
00226974,F,243,6,2,0,0,729,1458,8,1,1,0,0,0,0,0,0,0,0,0
00226975,F,273,4,2,0,0,819,1638,10,1,0,1,0,0,0,0,1,0,0,0
00226976,F,276,20,1,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
00226977,F,267,16,8,0,0,0,0,50,1,2,2,0,0,1,2,0,0,0,0
00226978,F,283,10,1,0,0,0,3396,10,0,0,0,0,0,1,0,0,0,0,0
00226980,F,98,22,1,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0
00226982,M,302,8,12,0,0,0,302,68,2,1,6,3,0,0,0,0,0,0,0
00226983,F,55,26,3,0,0,0,0,34,0,1,1,0,0,1,0,0,0,0,0
00226984,M,136,2,2,0,204,408,816,8,1,0,1,0,0,0,0,0,0,0,0
00226988,M,164,16,4,0,0,0,0,36,2,0,1,0,0,0,1,0,0,0,0
00226990,F,378,10,7,0,0,0,648,50,2,0,2,0,1,1,1,1,0,0,0
00226993,F,110,8,1,0,0,0,1320,8,0,0,0,1,0,0,0,0,0,0,0
00226994,F,402,14,9,0,0,0,0,38,3,0,0,3,1,2,0,0,0,0,0
00226995,F,103,14,2,0,0,0,0,22,0,1,0,0,1,0,0,0,0,0,0
00226999,M,194,8,2,0,0,0,1164,12,1,0,1,0,0,0,0,1,0,0,0
00227004,F,215,14,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0
00227005,F,129,26,1,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0
00227009,M,256,10,1,0,0,0,3072,10,0,0,1,0,0,0,0,0,0,0,0
00227012,F,34,10,1,0,0,0,408,10,0,0,0,0,1,0,0,0,0,0,1
00227015,F,131,2,1,0,393,786,1572,2,1,0,0,0,0,0,0,0,0,0,1
00227018,F,230,14,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0
00227020,M,57,16,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0
00227023,F,104,12,1,0,0,0,1248,12,0,0,0,0,0,1,0,0,0,0,0
00227024,F,208,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00227027,F,198,28,1,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,1
00227028,M,187,12,4,0,0,0,561,22,0,0,0,2,1,1,0,0,1,1,1
00227030,F,293,24,1,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0
00227035,M,69,6,2,0,0,207,414,12,1,0,0,1,0,0,0,0,0,0,1
00227036,F,103,16,4,0,0,0,0,36,0,0,1,0,2,1,0,0,0,0,0
00227038,F,370,12,7,0,0,0,634,28,3,0,0,2,2,0,0,0,0,0,0
00227039,F,157,8,10,0,0,0,188,42,3,3,1,1,2,0,0,0,0,0,0
00227042,F,149,14,2,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0
00227043,M,287,14,2,0,0,0,0,20,0,1,0,0,0,1,0,0,0,1,0
00227044,F,311,20,2,0,0,0,0,24,0,0,1,0,0,1,0,0,0,0,0
00227045,F,233,8,2,0,0,0,1398,10,0,0,1,0,0,0,1,0,0,0,0
00227047,M,196,8,2,0,0,0,1176,16,1,0,0,0,0,0,1,0,0,0,0
00227050,F,117,20,2,0,0,0,0,26,0,0,0,0,1,0,1,0,0,0,0
00227051,F,397,12,7,0,0,0,681,44,5,0,0,0,1,1,0,0,0,0,0
00227052,F,172,16,3,0,0,0,0,30,0,0,0,1,0,0,2,0,0,0,0
00227054,F,64,6,1,0,0,384,768,6,0,1,0,0,0,0,0,0,0,0,0
00227056,F,183,4,7,0,0,157,314,32,2,0,1,1,0,2,1,0,0,0,0
00227060,F,303,26,1,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0
00227061,F,287,6,1,0,0,1722,3444,6,0,0,1,0,0,0,0,0,0,0,0
00227062,M,207,14,1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0
00227063,F,23,14,1,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0
00227064,F,325,16,2,0,0,0,0,20,0,0,1,0,0,0,1,0,0,0,0
00227065,F,179,10,11,0,0,0,195,58,2,2,1,0,2,2,2,0,0,0,0
00227067,F,86,8,2,0,0,0,516,10,0,0,2,0,0,0,0,0,0,0,0
00227068,F,308,16,2,0,0,0,0,18,1,1,0,0,0,0,0,0,0,0,0
00227070,F,82,12,2,0,0,0,492,16,0,0,1,1,0,0,0,0,0,0,1
00227071,M,89,16,2,0,0,0,0,18,1,0,1,0,0,0,0,0,0,0,0
00227072,F,458,14,11,0,0,0,0,54,2,0,3,2,0,1,3,1,0,0,0
00227073,F,193,16,7,0,0,0,0,36,0,1,1,2,2,0,1,0,0,0,0
00227076,F,260,10,1,0,0,0,3120,10,0,0,1,0,0,0,0,0,0,0,0
00227078,F,155,16,2,0,0,0,0,24,0,1,0,0,0,0,1,0,0,0,0
00227079,F,250,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00227080,F,119,14,2,0,0,0,0,18,1,0,1,0,0,0,0,0,0,0,0
00227081,M,288,26,12,0,0,0,0,68,5,0,0,3,2,0,2,0,0,0,0
00227084,F,194,34,1,0,0,0,0,34,0,0,0,1,0,0,0,0,0,0,0
00227085,F,258,8,7,0,0,0,442,30,2,1,0,1,2,0,1,0,1,0,0
00227089,F,240,10,2,0,0,0,1440,14,0,0,2,0,0,0,0,0,0,0,0
00227090,F,284,34,1,0,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0
00227093,F,43,10,1,0,0,0,516,10,0,0,0,0,0,1,0,0,0,0,1
00227094,F,207,18,1,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0
00227095,F,296,8,1,0,0,0,3552,8,0,0,1,0,0,0,0,0,0,0,0
00227097,M,28,12,1,0,0,0,336,12,0,0,0,0,1,0,0,0,0,0,0
00227098,F,48,16,1,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0
00227102,F,139,2,7,0,60,119,238,44,1,2,0,0,1,0,3,0,0,0,0
00227104,F,203,20,2,0,0,0,0,24,1,0,0,0,0,0,1,0,0,0,0
00227105,M,155,8,1,0,0,0,1860,8,0,0,0,1,0,0,0,0,0,0,0
00227107,F,64,6,1,0,0,384,768,6,1,0,0,0,0,0,0,0,0,0,0
00227108,M,166,26,1,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0
00227110,F,265,18,2,0,0,0,0,22,0,0,0,1,0,1,0,0,0,1,0
00227111,F,165,34,7,0,0,0,0,64,0,0,3,1,0,0,3,1,0,0,0
00227112,F,71,10,1,0,0,0,852,10,1,0,0,0,0,0,0,0,0,0,0
00227114,F,212,10,7,0,0,0,363,48,1,0,2,0,0,1,3,0,0,0,0
00227115,M,150,8,2,0,0,0,900,16,0,0,0,0,1,0,1,0,0,0,0
00227118,M,212,20,2,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0
00227120,M,315,2,7,0,135,270,540,36,3,1,2,0,1,0,0,0,0,0,0
00227125,M,153,6,2,0,0,459,918,14,1,0,1,0,0,0,0,0,0,0,0
00227126,F,253,18,2,0,0,0,0,22,0,1,0,0,0,0,1,0,0,0,0
00227127,F,257,12,3,0,0,0,1028,24,0,0,0,1,0,1,1,0,0,0,0
00227129,F,166,20,2,0,0,0,0,26,1,0,0,0,0,0,1,0,0,0,0
00227130,F,238,34,12,0,0,0,0,86,2,0,3,3,1,2,1,0,0,0,0
00227134,F,237,10,2,0,0,0,1422,16,1,0,1,0,0,0,0,0,0,0,0
00227138,M,120,6,1,0,0,720,1440,6,0,1,0,0,0,0,0,0,0,0,0
00227139,F,188,16,2,0,0,0,0,18,0,1,1,0,0,0,0,0,0,0,0
00227142,M,211,2,2,0,317,633,1266,8,0,0,1,1,0,0,0,0,0,0,1
00227144,F,355,8,8,0,0,0,533,42,1,4,1,0,1,1,0,0,0,0,0
00227146,F,195,10,2,0,0,0,1170,14,0,0,0,0,0,2,0,0,0,1,0
00227147,M,187,32,11,0,0,0,0,88,2,1,2,2,1,0,3,0,0,0,0
00227148,F,144,10,1,0,0,0,1728,10,1,0,0,0,0,0,0,0,0,0,0
00227149,M,359,24,6,0,0,0,0,54,0,1,2,0,2,0,1,1,1,0,0
00227150,F,234,12,1,0,0,0,2808,12,0,0,1,0,0,0,0,0,0,0,0
00227151,F,73,16,2,0,0,0,0,24,1,0,0,0,0,0,1,0,0,0,0
00227152,F,114,8,4,0,0,0,342,22,1,1,1,0,0,0,1,0,0,0,0
00227153,F,231,32,2,0,0,0,0,40,0,0,1,0,0,0,1,0,0,0,0
00227154,F,356,2,7,0,153,305,610,36,3,0,2,0,0,0,2,0,0,0,0
00227155,M,274,8,5,0,0,0,658,32,1,0,2,1,0,0,1,0,0,0,0
00227156,F,218,10,2,0,0,0,1308,14,0,0,1,0,0,0,1,0,0,0,0
00227157,M,173,34,9,0,0,0,0,56,1,1,5,0,0,2,0,0,0,0,0
00227162,F,342,12,12,0,0,0,342,82,2,1,3,2,1,1,2,1,0,0,0
00227163,F,65,8,1,0,0,0,780,8,0,0,0,0,0,0,1,0,0,0,0
00227165,F,122,10,1,0,0,0,1464,10,1,0,0,0,0,0,0,0,0,0,0
00227166,F,137,2,2,0,206,411,822,8,1,0,0,0,0,0,1,0,0,0,0
00227167,F,290,16,12,0,0,0,0,76,4,1,2,1,2,0,2,0,0,0,0
00227173,F,203,32,3,0,0,0,0,42,1,0,0,0,0,2,0,0,0,0,0
00227176,M,160,12,2,0,0,0,960,14,0,0,0,0,1,1,0,0,0,1,0
00227177,F,251,4,2,0,0,753,1506,10,0,1,0,0,0,0,1,0,0,0,0
00227178,F,322,30,2,0,0,0,0,36,1,0,0,0,0,1,0,0,0,0,0
00227180,F,165,4,5,0,0,198,396,32,0,1,2,1,0,0,1,0,0,0,0
00227182,F,251,8,12,0,0,0,251,60,4,0,1,3,1,1,2,0,0,0,0
00227188,F,87,2,2,0,131,261,522,8,1,0,0,1,0,0,0,0,0,0,0
00227189,F,244,12,2,0,0,0,1464,18,1,0,0,0,0,1,0,0,0,0,0
00227192,F,24,4,1,0,0,144,288,4,0,0,0,0,0,0,1,0,0,0,0
00227193,M,137,8,1,0,0,0,1644,8,0,1,0,0,0,0,0,0,0,0,0
